VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
BA.1	2022-01-16	18125841.3691079	0.314300329724115	0.200679448324841	-0.0226774922597308	0.0640108192106135	0.00731424995206891	0.0916221209683728	-0.010474535099782	0.0020494612225348	0.00120547962626491
BA.1	2022-01-23	20132852.8734813	0.458895095461964	0.228125113629823	-0.0198156620960088	0.0726926363903274	0.00737062602683383	0.0552719751743586	0.00286183016372207	0.00868181717971387	5.63760747649202E-05
BA.1	2022-01-30	19533806.7464031	0.599187493574353	0.257503830040391	-0.0160865321163468	0.0795758607463832	0.00764803352248192	0.0527070088923488	0.00372912997966203	0.00688322435605585	0.000277407495648092
BA.1	2022-02-06	16244804.8103502	0.715858179083789	0.248244635327107	-0.0142555749315536	0.0828017899077519	0.00862704046326119	0.0459907267133842	0.0018309571847932	0.00322592916136857	0.000979006940779263
BA.1	2022-02-13	12397499.1642993	0.804897397651677	0.254237550158904	-0.0107553701831492	0.0909988943145996	0.00951562000141601	0.0393256446983457	0.0035002047484044	0.00819710440684787	0.000888579538154813
BA.1	2022-02-20	8410419.29931185	0.865301286558198	0.264827041081834	-0.0101264747112697	0.0946114341850205	0.0103520409472787	0.0406237787555713	0.000628895471879483	0.00361253987042079	0.000836420945862674
BA.1	2022-02-27	6019320.72747553	0.908532232314362	0.2806703220535	-0.00717105985451692	0.0984984595443246	0.0108635563942526	0.0435111287425118	0.00295541485675276	0.00388702535930399	0.000511515446973894
BA.1	2022-03-06	4166962.917617	0.938459487567132	0.280684690947524	-0.00233599484163216	0.107023885678572	0.0118244500563987	0.0508627918966143	0.00483506501288476	0.00852542613424768	0.000960893662146145
BA.1	2022-03-13	3074861.9273	0.960543240070972	0.290343380168848	-0.00563669254380534	0.108007666790547	0.012356554235771	0.040762766594958	-0.0033006977021732	0.000983781111974494	0.000532104179372297
BA.1	2022-03-20	1990573.55190801	0.974839600265468	0.302007440189021	-0.00375255814340929	0.113625713048114	0.0129882058530451	0.0470027543226346	0.00188413440039604	0.00561804625756746	0.000631651617274087
BA.1	2022-03-27	1351211.44823452	0.984544042256256	0.323342462752761	-0.00128455061769132	0.120885615866493	0.013800886610413	0.0593570037613266	0.00246800752571798	0.0072599028183786	0.00081268075736792
BA.1	2022-04-03	889983.768258389	0.99093593292821	0.326870072414144	-0.00150837823110457	0.11844650641616	0.0139512688989125	0.0572909781439118	-0.000223827613413237	-0.0024391094503326	0.000150382288499457
BA.1	2022-04-10	580999.477097794	0.995108688960983	0.343190724592834	-0.00277055908334957	0.122177098857427	0.0147882210662455	0.0719240465427688	-0.00126218085224501	0.00373059244126657	0.000836952167333003
BA.1	2022-04-17	279300.753602338	0.997114635524609	0.353614356314149	-0.00998854989752909	0.119641351661596	0.0151414219108951	0.0746753633256239	-0.00721799081417951	-0.00253574719583102	0.000353200844649662
BA.1	2022-04-24	135070.988887541	0.99808471950222	0.373714460929268	-0.0207925114647604	0.1189756261523	0.015124849595482	0.109829568926074	-0.0108039615672313	-0.000665725509295652	-1.65723154131619E-05
BA.1	2022-05-01	74292.2120283471	0.998618288443587	0.382520154761652	-0.0239100160620918	0.113725029344206	0.0163767536439214	0.135508697526499	-0.00311750459733149	-0.00525059680809402	0.00125190404843941
BA.1	2022-05-08	43862.1278590941	0.998933307588782	0.420864332715048	-0.0322850332920053	0.100748909399826	0.0165652408218671	0.178721314772723	-0.00837501722991341	-0.0129761199443804	0.000188487177945703
BA.1	2022-05-15	43806.1033071563	0.99924792436393	0.324504869871455	-0.0190512035889401	0.0600434586032444	0.0114098113775247	0.226531934020544	0.0132338297030652	-0.0407054507965812	-0.00515542944434241
BA.2	2021-12-19	8382.65277245432	0.00012088124044084	0	0	0	0	0.007183442	0	0	0
BA.2	2021-12-26	48448.2283755196	0.000539977453772776	0.413450119470815	0.48015701610885	0.0527511729746636	-0.00963071804817015	0.413450119470815	0.48015701610885	0.0527511729746636	-0.00963071804817015
BA.2	2022-01-02	250633.11455676	0.00270805238175926	1.0976882377834	1.43974787481087	0.14918933043372	-0.0289936453161969	0.729568273049159	0.959590858702022	0.0964381574590559	-0.0193629272680268
BA.2	2022-01-09	706526.720527896	0.00881978614622216	1.37894458361734	1.7107776826927	0.170795272353546	-0.0349443785063275	0.302187399613225	0.27102980788183	0.0216059419198261	-0.00595073319013056
BA.2	2022-01-16	1117159.69464149	0.0184836564962861	1.4921381133143	1.75280354385676	0.128230509175547	-0.0387595433565287	0.26469992697573	0.0420258611640562	-0.0425647631779985	-0.00381516485020117
BA.2	2022-01-23	1926254.90510125	0.0351465183533342	1.51326065556144	1.90366003564456	0.162835639505191	-0.0399584444539729	0.135191154706039	0.150856491787804	0.0346051303296438	-0.00119890109744427
BA.2	2022-01-30	2498711.2793521	0.0567613527961845	1.5325650615814	1.99500319596663	0.192566295621851	-0.0408079147932973	0.0645693477552447	0.0913431603220614	0.0297306561166604	-0.000849470339324394
BA.2	2022-02-06	3355478.18803692	0.0857875576684096	1.56248380083657	2.03273761587898	0.205177417185818	-0.0418267772834438	0.0594810524495577	0.0377344199123569	0.0126111215639663	-0.00101886249014645
BA.2	2022-02-13	3739522.34936964	0.118135895447524	1.59192532099964	2.05468441206061	0.209982282464634	-0.0425755225221372	0.0524440932643682	0.0219467961816265	0.00480486527881611	-0.00074874523869348
BA.2	2022-02-20	4756414.18209908	0.15928074717059	1.55871289820233	2.07175037643104	0.213810849397064	-0.0418581521952741	0.0612413326526055	0.0170659643704335	0.00382856693243042	0.000717370326863132
BA.2	2022-02-27	5390288.93311586	0.205908864573029	1.56900692038875	2.08369375231053	0.215239010652193	-0.0421497620215925	0.0291178127376758	0.0119433758794866	0.00142816125512872	-0.000291609826318436
BA.2	2022-03-06	6844421.42859937	0.265115799467337	1.57576696056329	2.08679262803889	0.21569706942294	-0.0417773551863582	0.0320715570174729	0.00309887572835767	0.000458058770747249	0.000372406835234393
BA.2	2022-03-13	8385686.9606723	0.337655286859214	1.57719453875929	2.08818053032468	0.216124393199389	-0.0416779311829946	0.0214983580583517	0.00138790228578559	0.000427323776448502	9.94240033635204E-05
BA.2	2022-03-20	9579877.97142947	0.420524995755253	1.5827076218065	2.09445487923746	0.217433280712083	-0.0416945729358798	0.0192628251530369	0.00627434891279547	0.00130888751269443	-1.66417528851919E-05
BA.2	2022-03-27	9450815.44324179	0.502278263066942	1.58844666780768	2.09472879699202	0.217934744188743	-0.0411418108381029	0.0233547764462047	0.00027391775455453	0.00050146347665958	0.000552762097776875
BA.2	2022-04-03	8217975.11856008	0.573366977121652	1.59934933236768	2.08818480475239	0.220124196877953	-0.0405904328031073	0.0279066549125493	-0.00654399223962878	0.00218945268921004	0.000551378034995595
BA.2	2022-04-10	6762558.34054381	0.631865764135921	1.62183764988813	2.09493053439828	0.222725761933241	-0.0392556512679621	0.0500356740810723	0.00674572964588354	0.00260156505528789	0.00133478153514523
BA.2	2022-04-17	5507916.29438794	0.679511404435405	1.63540225812427	2.10509727607448	0.228577760832809	-0.0376677667644286	0.0412097788313342	0.0101667416762065	0.00585199889956771	0.00158788450353349
BA.2	2022-04-24	4554080.44262608	0.718905989804351	1.65811956367601	2.10770246909575	0.231404998467899	-0.0363509719496965	0.0382123919694927	0.00260519302127149	0.00282723763509116	0.00131679481473211
BA.2	2022-05-01	3836623.91572496	0.752094294288805	1.687254999141	2.11170834627471	0.240387604102357	-0.032941431816417	0.0601734385840931	0.00400587717895352	0.00898260563445774	0.00340954013327948
BA.2	2022-05-08	3476386.93374648	0.78216640732289	1.73082380992651	2.11536737706748	0.249449542194143	-0.0292514054946572	0.0637798964206372	0.00365903079277218	0.00906193809178511	0.00369002632175989
BA.2	2022-05-15	3203344.73841389	0.809876598074558	1.76399210753513	2.12050640031779	0.257921809096879	-0.0257961909450932	0.0604752683954962	0.00513902325031858	0.00847226690273651	0.00345521454956396
BA.2	2022-05-22	2949894.10581223	0.835394341259999	1.80079482973757	2.12103161412269	0.268583800515353	-0.021701762291966	0.0744165148043942	0.000525213804889579	0.0106619914184746	0.00409442865312716
BA.2	2022-05-29	2564774.30766694	0.857580646857447	1.84137165651294	2.11913041641269	0.278819795071062	-0.0172540885438602	0.067620519736611	-0.00190119771000567	0.0102359945557087	0.0044476737481058
BA.2	2022-06-05	2221755.1062324	0.876799701572013	1.86684803075093	2.12342876507858	0.285330679165277	-0.0153016246428998	0.0621290231225087	0.00429834866590081	0.0065108840942148	0.00195246390096048
BA.2	2022-06-12	1994294.28946771	0.894051130840121	1.89670458611431	2.12948061090673	0.292886688877991	-0.0123490795718293	0.057835127295581	0.00605184582815475	0.007556009712714	0.00295254507107051
BA.2	2022-06-19	1686703.02282944	0.908641774782853	1.90846554284346	2.13368074503066	0.292296875048352	-0.0105513032103758	0.0648743956224518	0.00420013412392219	-0.000589813829638864	0.00179777636145342
BA.2	2022-06-26	1370159.92406875	0.920494196534698	1.9341926985404	2.13121138397656	0.294614988547985	-0.00971220050337765	0.0668060663445353	-0.00246936105410422	0.00231811349963324	0.000839102706998178
BA.2	2022-07-03	1144364.57064835	0.930393399752463	1.95472628140934	2.13400734020556	0.29862968074294	-0.0085656828864515	0.0602736748864291	0.00279595622900832	0.00401469219495481	0.00114651761692616
BA.2	2022-07-10	953668.280207561	0.938643005123208	1.96074506649124	2.13375384379416	0.309095732358657	-0.0110679672380278	0.0895182247156278	-0.000253496411404159	0.0104660516157167	-0.00250228435157629
BA.2	2022-07-17	719205.456877572	0.944864414939245	1.98916194403435	2.13949679841059	0.314118260610876	-0.0104011840007782	0.0960404621546679	0.00574295461643077	0.00502252825221889	0.000666783237249603
BA.2	2022-07-24	486359.417137055	0.949071615013943	2.05418460429738	2.13041453826462	0.318986340740015	-0.00793918237210909	0.13823496300623	-0.00908226014597232	0.00486808012913866	0.00246200162866911
BA.2	2022-07-31	311802.406959875	0.951768828357882	2.16825964486893	2.08291366285012	0.305909558067831	-0.00323156183815357	0.25396440779603	-0.0475008754144971	-0.0130767826721831	0.00470762053395552
BA.2	2022-08-07	197493.062353738	0.953477220952762	2.31040509053421	2.0776099834382	0.317718116830158	0.00477371480771005	0.283209761465034	-0.00530367941191918	0.0118085587623269	0.00800527664586362
BA.2	2022-08-14	135250.565672596	0.954647191492965	2.63527317810862	2.00600822301471	0.312142331979688	0.0263238310686854	0.636904060889835	-0.0716017604234908	-0.00557578485047001	0.0215501162609754
BA.2	2022-08-21	92761.8587811728	0.955449618022486	3.01188650323704	1.95409468827854	0.313911641039538	0.055269855193047	0.706725247210398	-0.0519135347361729	0.00176930905984949	0.0289460241243615
BA.2	2022-08-28	73992.8720170644	0.956089685441166	3.52857073189948	1.9057115262859	0.286174694593356	0.0889712855297536	0.801134170867231	-0.0483831619926417	-0.0277369464461821	0.0337014303367066
