VOC	Date	InfectionProportion	HaploMax_AntigenicDistanceABS	HaploMax_ChangeACE2binding	HaploMax_ChangeCellEntry	HaploMax_ChangeImmuneEscape	AdvHaploMax_AntigenicDistanceABS	AdvHaploMax_ChangeACE2binding	AdvHaploMax_ChangeCellEntry	AdvHaploMax_ChangeImmuneEscape
Delta	2021-11-07	0.680992865212409	2.09845939340399	1.14608478802993	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-11-14	0.713780976042948	2.20016459617456	1.14608478802993	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-11-21	0.749249206390414	2.20016459617456	1.14608478802993	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-11-28	0.787068055751177	2.20016459617456	1.05608478802992	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-12-05	0.826093233959203	2.20016459617456	1.14608478802993	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-12-12	0.865829628454391	2.20016459617456	1.05608478802992	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-12-19	0.903823310804001	2.20016459617456	1.14608478802993	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2021-12-26	0.936821709885139	2.09845939340399	1.05608478802992	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2022-01-02	0.963793580536612	3.14006416980798	1.05608478802992	2.1085174563591	0.333393327127182	0	0	0	0
Delta	2022-01-09	0.982690244461303	2.03025394700748	1.05608478802992	1.0418174563591	0.333393327127182	0	0	0	0
Delta	2022-01-16	0.991750170460828	2.20016459617456	1.05608478802992	0.911217456359102	0.333393327127182	0	0	0	0
Delta	2022-01-23	0.995906592074102	1.51194406840399	0.866084788029925	0.911517456359102	0.333393327127182	0	0	0	0
Delta	2022-01-30	0.997957072180471	1.36501608661596	0.866084788029925	0.819417456359102	0.333393327127182	0	0	0	0
Delta	2022-02-06	0.998915808652015	1.30095771240399	0.866084788029925	0.806417456359102	0.333393327127182	0	0	0	0
BA.1	2021-11-28	0.000257358641164343	1.33835302002186	0.147404371584699	0.280370765027323	0.0160043360437158	0	0	0	0
BA.1	2021-12-05	0.000508679444731826	4.67840559943169	0.4174043715847	0.655270765027322	0.0827230240437158	0	0	0	0
BA.1	2021-12-12	0.00176111648328128	4.3327607698142	0.4174043715847	0.280370765027323	0.106825196043716	0	0	0	0
BA.1	2021-12-19	0.00859454026178699	4.3327607698142	0.4174043715847	0.392170765027322	0.106825196043716	0	0	0	0
BA.1	2021-12-26	0.0335672384297049	4.3327607698142	0.5974043715847	0.406370765027322	0.106825196043716	0	0	0	0
BA.1	2022-01-02	0.0900195690873214	4.67840559943169	0.5974043715847	0.655270765027322	0.106825196043716	0	0	0	0
BA.1	2022-01-09	0.184119982058643	4.67840559943169	0.907404371584699	0.655270765027322	0.106825196043716	0	0	0	0
BA.1	2022-01-16	0.314300329724115	4.04047413538251	0.907404371584699	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-01-23	0.458895095461964	4.5706655556612	0.907404371584699	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-01-30	0.599187493574353	4.27332271861202	0.907404371584699	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-02-06	0.715858179083789	4.5706655556612	0.6774043715847	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-02-13	0.804897397651677	3.81411505877049	0.7574043715847	0.443070765027322	0.268723206043716	0	0	0	0
BA.1	2022-02-20	0.865301286558198	3.81411505877049	0.7574043715847	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-02-27	0.908532232314362	3.73569685800546	0.907404371584699	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-03-06	0.938459487567132	3.52319825177596	0.907404371584699	0.502870765027322	0.268723206043716	0	0	0	0
BA.1	2022-03-13	0.960543240070972	3.5762102729235	0.907404371584699	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-03-20	0.974839600265468	3.81411505877049	0.907404371584699	0.443070765027322	0.268723206043716	0	0	0	0
BA.1	2022-03-27	0.984544042256256	2.98974489133333	0.7574043715847	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-04-03	0.99093593292821	2.75935219633333	0.7574043715847	0.662470765027322	0.268723206043716	0	0	0	0
BA.1	2022-04-10	0.995108688960983	3.31743009321311	0.6774043715847	0.502870765027322	0.268723206043716	0	0	0	0
BA.1	2022-04-17	0.997114635524609	2.75935219633333	0.7574043715847	0.406370765027322	0.268723206043716	0	0	0	0
BA.1	2022-04-24	0.99808471950222	1.92596638142076	0.6774043715847	0.366470765027322	0.106825196043716	0	0	0	0
BA.1	2022-05-01	0.998618288443587	1.50393989113115	0.7574043715847	0.377970765027322	0.0680557830437158	0	0	0	0
BA.1	2022-05-08	0.998933307588782	1.62612067319126	0.7574043715847	0.502870765027322	0.102074978043716	0	0	0	0
BA.1	2022-05-15	0.99924792436393	2.75935219633333	0.6774043715847	0.287570765027322	0.102074978043716	0	0	0	0
