VOC	Date	TotalHaploCount	InfectionProportion	AntigenicDistanceABS	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	Type
BA.2	2023-03-05	1	0.994496302	6.367317416	0.857338129	2.452738777	0.672477575	All
BA.2	2023-03-12	1	0.995033613	6.443374733	0.857338129	2.500768777	0.610737667	All
BA.2	2023-03-19	1	0.995613881	6.466566139	0.857338129	2.500768777	0.610737667	All
BA.2	2023-03-26	1	0.996107178	6.367317416	0.857338129	2.500768777	0.54725689	All
BA.2	2023-04-02	1	0.996637524	6.493029401	0.857338129	2.530148777	0.54725689	All
BA.2	2023-04-16	1	0.997455077	6.545025913	0.857338129	2.500768777	0.672477575	All
BA.2	2023-04-30	1	0.998125625	6.545025913	1.237338129	2.500768777	0.686517798	All
BA.4/5	2022-04-17	1	0.000772665	1.30471906	0.056666667	0.295707604	0.147338452	All
BA.4/5	2022-04-24	1	0.001026789	0.839410517	0.05641791	0.295707604	0.146601063	All
BA.4/5	2022-05-01	1	0.001558322	2.264214579	0.00641791	0.31227602	0.168409347	All
BA.4/5	2022-05-08	1	0.002323416	1.787682454	0.05641791	0.45527602	0.184855035	All
BA.4/5	2022-05-15	1	0.003588829	1.702846093	0.05641791	0.45527602	0.202279046	All
BA.4/5	2022-05-22	1	0.005708187	3.208128516	0.16641791	0.45527602	0.184855035	All
BA.4/5	2022-05-29	1	0.009290283	4.45553443	0.14641791	0.45527602	0.202279046	All
BA.4/5	2022-06-05	1	0.015841009	5.063255192	0.16641791	0.45527602	0.202279046	All
BA.4/5	2022-06-12	1	0.026676102	5.358771513	0.14641791	0.47987602	0.23524721	All
BA.4/5	2022-06-19	1	0.046113995	5.358771513	0.14641791	0.47987602	0.202279046	All
BA.4/5	2022-06-26	1	0.076156722	4.797403027	0.29641791	0.47987602	0.264042451	All
BA.4/5	2022-07-03	1	0.118143158	5.358771513	0.29641791	0.45527602	0.202279046	All
BA.4/5	2022-07-10	1	0.17112491	5.630451919	0.17641791	0.47987602	0.333070265	All
BA.4/5	2022-07-17	1	0.233427036	5.028914039	0.29641791	0.52007602	0.333070265	All
BA.4/5	2022-07-24	1	0.301421338	5.358771513	0.29641791	0.55087602	0.333070265	All
BA.4/5	2022-07-31	1	0.371226627	5.630451919	0.29641791	0.55087602	0.333070265	All
BA.4/5	2022-08-07	1	0.437230536	5.630451919	0.29641791	0.55087602	0.333070265	All
BA.4/5	2022-08-14	1	0.497555662	5.358771513	0.29641791	0.52007602	0.28823177	All
BA.4/5	2022-08-21	1	0.55038513	5.279922443	0.29641791	0.55087602	0.28823177	All
BA.4/5	2022-08-28	1	0.598076594	5.358771513	0.29641791	0.55087602	0.333070265	All
BA.4/5	2022-09-04	1	0.638220231	3.878460865	0.29641791	0.58227602	0.350494276	All
BA.4/5	2022-09-11	1	0.673045371	4.984406122	0.29641791	0.54017602	0.402096449	All
BA.4/5	2022-09-18	1	0.70374051	3.878460865	0.29641791	0.52647602	0.402096449	All
BA.4/5	2022-09-25	1	0.733695154	4.654548648	0.29641791	0.58227602	0.349779092	All
BA.4/5	2022-10-02	1	0.762127686	5.358771513	0.29641791	0.58227602	0.402096449	All
BA.4/5	2022-10-09	1	0.78911851	3.878460865	0.29641791	0.59302602	0.402096449	All
