VOC	Date	InfectionProportion	HaploMid_AntigenicDistanceABS	HaploMid_ChangeACE2binding	HaploMid_ChangeCellEntry	HaploMid_ChangeImmuneEscape
BA.2	2022-06-26	0.920494196534698	2.09042070780576	0.217338129496403	2.15045877697842	-0.041086657352518
BA.2	2022-07-03	0.930393399752463	2.09410430580576	0.217338129496403	2.14192877697842	-0.0408810419745595
BA.2	2022-07-10	0.938643005123208	2.13968895680575	0.217338129496403	2.18473377697842	-0.036262271352518
BA.2	2022-07-17	0.944864414939245	2.14291444480576	0.217338129496403	2.15643877697842	-0.037077121352518
BA.2	2022-07-24	0.949071615013943	2.17064275580575	0.317338129496403	2.18175877697842	-0.034712446352518
BA.2	2022-07-31	0.951768828357882	2.19982753780576	0.337338129496403	2.14028877697842	0.007445791647482
BA.2	2022-08-07	0.953477220952762	2.21239070680575	0.337338129496403	2.14523877697842	0.007517591647482
BA.2	2022-08-14	0.954647191492965	2.23853829430216	0.337338129496403	2.16205877697842	0.010772865647482
BA.2	2022-08-21	0.955449618022486	2.35195047005036	0.337338129496403	2.12132877697842	0.013137540647482
BA.2	2022-08-28	0.956089685441166	2.37395794099979	0.337338129496403	2.10680877697842	0.013137540647482
BA.2	2022-09-04	0.95656967964426	3.14034769628777	0.337338129496403	2.11442877697842	0.062120689647482
BA.2	2022-09-11	0.957066275316253	4.53175519047482	0.337338129496403	2.06988877697842	0.108789543647482
BA.2	2022-09-18	0.95762385569293	4.74076016680575	0.377338129496403	1.93962877697842	0.150096459647482
BA.2	2022-09-25	0.958253387598644	4.91311133547482	0.357338129496403	1.99170877697842	0.197411021647482
BA.2	2022-10-02	0.95895304032037	4.99214217447482	0.377338129496403	1.91638877697842	0.227006524647482
BA.2	2022-10-16	0.96071117283749	5.14524720997122	0.437338129496403	1.91638877697842	0.227006524647482
BA.2	2022-10-23	0.96166245787698	5.18025782247482	0.577338129496403	1.89538877697842	0.243578765647482
BA.2	2022-10-30	0.962628501655059	5.17098569547482	0.527338129496403	1.88853877697842	0.250181954647482
BA.2	2022-11-06	0.963698462565116	5.25895042347482	0.577338129496403	1.70148877697842	0.365478658647482
BA.2	2022-11-13	0.964869327144731	5.25599296071942	0.607338129496403	1.67028877697842	0.369585392647482
BA.2	2022-11-20	0.966380551513621	5.28376053247482	0.617338129496403	1.63948877697842	0.453707344647482
BA.2	2022-12-04	0.970005069417269	5.33306768697122	0.617338129496403	1.67028877697842	0.481325823647482
BA.2	2022-12-11	0.972464839341867	5.37620547147482	0.617338129496403	1.63948877697842	0.481325823647482
BA.2	2022-12-18	0.975278004204841	5.38665318147482	0.627338129496403	1.63948877697842	0.481325823647482
BA.2	2022-12-25	0.978057880597162	5.41360492347482	0.617338129496403	1.72358877697842	0.481325823647482
