VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
Delta	703	2021-10-17	32	37	70374	1545.035765	2938658.024	0.584657023	0.283202846	0.008266748	0.310900496	-0.001177741	0.593410933	1	GA5
Alpha	98	2021-03-28	20	16	49829	902.5375802	2810784.068	0.236540614	0.049160531	0.008578393	0.300910028	-0.001406422	0.384909028	-0.463547316	GA3
BA.4/5	181	2022-12-04	34	5	16524	380.1436802	1256298.834	1.248198538	0.852509727	-0.078308105	0.074149757	0.191479321	0.928165587	1	GA9
Delta	842	2021-09-05	26	4	94327	179.3833942	4230174.356	0.455616064	-0.002738562	-0.302758688	0.501016342	-0.000824446	0.405069965	-0.501346381	GA4
Delta	164	2021-11-14	36	14	106330	461.1892997	3502732.731	0.549589296	-0.007866374	-0.083358344	-0.237491409	0.01201655	0.713780976	-0.215468022	GA7
WT	634	2020-12-20	47	31	22287	4990.368026	3587752.651	0.849694955	0.269626852	-0.05229232	-0.393325885	-0.009497527	0.642545406	-0.188298353	GA6
BA.4/5	7	2022-11-13	31	72	20034	5062.588107	1408665.141	0.622696144	0.038266364	0.012680792	-0.259078821	-0.076451299	0.885816935	-0.533643378	GA8
BA.4/5	803	2022-11-13	31	3	20103	210.9411711	1413516.788	0.778337824	0.198861619	-0.007322192	-0.467317115	-0.056636553	0.885816935	0.725403348	GA8
WT	59	2021-05-09	67	134	10464	12345.99283	964093.0524	2.425141939	-0.452610827	0.422045246	0.668510242	-0.195880836	0.943785045	-0.549716477	GA9
Delta	236	2021-08-08	22	28	89335	1245.028242	3972307.07	0.506835273	0.090920913	0.003606302	-0.310298089	-0.000675576	0.244038357	0.164089508	GA2
WT	294	2021-03-21	60	34	16523	1841.232798	894784.9859	1.98165435	0.400848586	0.544162658	0.224700996	-0.094834079	0.878654344	0.014714528	GA8
XBB	400	2023-10-08	54	16	9729	246.8814196	150119.3332	1.405648326	-0.243771124	0.39759224	-0.010597514	-0.019624371	0.898051025	-0.356233815	GA8
