VOC	Date	Cases	AverageNUCMutCount	
WT	2020-05-24	678548.6555	11.12178828	0.537050681
WT	2020-05-31	756745.3333	11.32337796	0.201589677
WT	2020-06-07	825116.3732	11.86043652	0.537058559
WT	2020-06-14	925895.1033	12.09300792	0.232571395
WT	2020-06-21	1030539.333	12.1891177	0.096109787
WT	2020-06-28	1172533	12.85511053	0.665992825
WT	2020-07-05	1304411.962	13.11768814	0.262577616
WT	2020-07-12	1439765.351	13.69116945	0.573481307
WT	2020-07-19	1573526.887	14.26610484	0.574935391
WT	2020-07-26	1717559.467	14.68889911	0.422794269
WT	2020-08-02	1803950.672	15.16736152	0.478462414
WT	2020-08-09	1852842.851	15.83847578	0.671114254
WT	2020-08-16	1843723.606	15.7522724	-0.08620338
WT	2020-08-23	1859482.229	15.94526974	0.192997343
WT	2020-08-30	1893492.973	16.37056976	0.42530002
WT	2020-09-06	1938192.016	16.76822882	0.397659055
WT	2020-09-13	2008272.885	16.66088943	-0.107339391
WT	2020-09-20	2050157.837	16.92950358	0.268614156
WT	2020-09-27	2108738.519	16.78471652	-0.144787066
WT	2020-10-04	2199656.242	17.5613079	0.776591386
WT	2020-10-11	2363259.202	18.02537445	0.464066547
WT	2020-10-18	2678676.618	18.54049924	0.515124787
WT	2020-10-25	3062606.556	18.67776288	0.137263648
WT	2020-11-01	3469492.525	18.95660333	0.278840447
WT	2020-11-08	3761753.638	19.33533954	0.37873621
WT	2020-11-15	3875543.333	19.41546811	0.080128573
WT	2020-11-22	3923558.924	19.71094033	0.295472218
WT	2020-11-29	3945776.403	20.03997868	0.329038346
WT	2020-12-06	4073907.52	20.47267426	0.432695583
WT	2020-12-13	3970522.103	20.69654528	0.223871024
WT	2020-12-20	3592743.019	20.98946146	0.292916178
WT	2020-12-27	3595788.114	21.31663471	0.327173245
WT	2021-01-03	3479971.918	21.77268782	0.456053112
WT	2021-01-10	3625025.322	22.10318367	0.330495848
WT	2021-01-17	3377559.525	22.41084036	0.307656696
WT	2021-01-24	2882083.407	22.9605859	0.549745532
WT	2021-01-31	1988049.798	23.22573821	0.265152311
WT	2021-02-07	1843131.408	23.79501121	0.569273001
WT	2021-02-14	1431047.533	23.70552648	-0.089484728
WT	2021-02-21	1153986.426	24.41119751	0.705671032
WT	2021-02-28	1060687.904	25.19315225	0.781954741
WT	2021-03-07	1003003.267	25.74980467	0.556652413
WT	2021-03-14	893707.7093	26.87268586	1.122881195
WT	2021-03-21	896626.2187	27.92492474	1.052238883
WT	2021-03-28	939767.2554	29.18817108	1.263246331
WT	2021-04-04	1090205.217	28.59959839	-0.588572682
WT	2021-04-11	1172265.77	31.08599493	2.486396541
WT	2021-04-18	1126403.099	31.49793046	0.411935529
WT	2021-04-25	1106226.446	32.81586312	1.317932653
WT	2021-05-02	1100278.844	33.52815471	0.712291592
WT	2021-05-09	976439.0452	33.60909348	0.080938773
WT	2021-05-16	814188.4077	35.31672045	1.707626968
WT	2021-05-23	701329.1142	36.69697766	1.380257212
WT	2021-05-30	557446.1385	36.44823823	-0.248739432
WT	2021-06-06	509992.5088	38.15864759	1.710409365
WT	2021-06-13	461466.7776	38.96462182	0.805974225
WT	2021-06-20	473873.2918	37.70264611	-1.261975712
WT	2021-06-27	368541.3127	38.99860752	1.295961412
WT	2021-07-04	345361.9496	40.46611829	1.467510773
WT	2021-07-11	287059.0879	40.13463675	-0.331481545
WT	2021-07-18	336392.6838	36.13665778	-3.997978963
WT	2021-07-25	195602.0527	41.19327268	5.056614893
WT	2021-08-01	147046.5515	39.64011335	-1.553159327
WT	2021-08-08	314191.7698	22.88748939	-16.75262396
WT	2021-08-15	145899.8274	30.63295378	7.745464399
WT	2021-08-22	232243.8442	15.55622906	-15.07672472
WT	2021-08-29	55619.4604	41.89966555	26.34343649
WT	2021-09-05	42020.56009	42.54429029	0.644624736
WT	2021-09-12	31155.95716	42.50613497	-0.038155319
WT	2021-09-19	29030.75314	39.9	-2.606134969
XBB	2022-10-09	42457.51078	95.47916667	0.423417538
XBB	2022-10-16	42361.84436	95.88353414	0.40436747
XBB	2022-10-23	43576.31661	95.91355599	0.030021856
XBB	2022-10-30	37403.90755	96.03042596	0.116869971
XBB	2022-11-06	52352.54816	95.96105702	-0.06936894
XBB	2022-11-13	69188.70413	95.72165992	-0.239397105
XBB	2022-11-20	83190.51582	96.18501388	0.463353957
XBB	2022-11-27	114930.6417	96.35760634	0.172592469
XBB	2022-12-04	169163.9377	96.6769991	0.319392757
XBB	2022-12-11	227641.3505	96.71500193	0.038002827
XBB	2022-12-18	252392.2284	97.04988995	0.33488802
XBB	2022-12-25	257933.6621	97.39612807	0.346238123
XBB	2023-01-01	295740.035	97.7429143	0.346786233
XBB	2023-01-08	339540.2852	98.13637563	0.393461322
XBB	2023-01-15	427472.1177	98.34407128	0.207695655
XBB	2023-01-22	464889.0437	98.48219498	0.138123698
XBB	2023-01-29	472112.4333	98.66933452	0.187139539
XBB	2023-02-05	480276.9024	98.87713535	0.207800829
XBB	2023-02-12	530918.1635	99.10255852	0.225423171
XBB	2023-02-19	556660.2072	99.40459701	0.30203849
XBB	2023-02-26	598038.7201	99.6787172	0.274120192
XBB	2023-03-05	616031.5132	100.0654767	0.386759523
XBB	2023-03-12	584865.4725	100.3922663	0.326789532
XBB	2023-03-19	567077.9477	100.7492676	0.357001347
XBB	2023-03-26	558026.5979	100.9385569	0.189289271
