VOC	Date	Cases	AverageNUCMutCount
XBB	2022-10-30	37403.9075481588	96.0304259634888
XBB	2022-11-06	52352.5481554032	95.9610570236439
XBB	2022-11-13	69188.7041271189	95.7216599190283
XBB	2022-11-20	83190.5158240236	96.1850138760407
XBB	2022-11-27	114930.641712231	96.3576063446287
XBB	2022-12-04	169163.937710315	96.6769991015274
XBB	2022-12-11	227641.350454316	96.7150019282684
XBB	2022-12-18	252392.228449353	97.0498899486427
XBB	2022-12-25	257933.66205523	97.3961280714818
XBB	2023-01-01	295740.035031847	97.7429143047683
XBB	2023-01-08	339540.285200832	98.1363756264838
XBB	2023-01-15	427472.117710876	98.3440712816998
XBB	2023-01-22	464889.043659342	98.482194979568
XBB	2023-01-29	472112.433297828	98.6693345190455
XBB	2023-02-05	480276.902397143	98.877135348226
XBB	2023-02-12	530918.16350426	99.102558519325
XBB	2023-02-19	556660.207202851	99.4045970089331
XBB	2023-02-26	598038.720116332	99.6787172011662
XBB	2023-03-05	616031.513151515	100.06547672437
XBB	2023-03-12	584865.472466451	100.392266256252
XBB	2023-03-19	567077.947662494	100.749267602788
XBB	2023-03-26	558026.59787627	100.938556874278
XBB	2023-04-02	609676.545266143	101.771361406378
XBB	2023-04-09	620995.336202774	102.608313173521
XBB	2023-04-16	616434.210788382	102.452331606218
XBB	2023-04-23	615703.779262899	102.948290329348
XBB	2023-04-30	599682.189079215	103.498247663551
XBB	2023-05-07	558005.868327809	103.908244680851
XBB	2023-05-14	472213.039254824	104.365112915786
XBB	2023-05-21	393873.44084264	104.838143311752
XBB	2023-05-28	310281.380792541	105.105704307334
XBB	2023-06-04	274271.893265183	105.659188730925
XBB	2023-06-11	211279.895906845	106.230349344978
XBB	2023-06-18	192206.797079745	106.60375843238
XBB	2023-06-25	162960.52459879	107.149379738112
XBB	2023-07-02	177764.475524476	107.64812319538
XBB	2023-07-09	176481.045919478	108.036398838335
XBB	2023-07-16	200800.552851962	108.387185104053
XBB	2023-07-23	247056.893258427	108.874203821656
XBB	2023-07-30	410805.444642375	109.323775388292
XBB	2023-08-06	372368.155616943	109.75828460039
XBB	2023-08-13	364260.669658503	110.10242264332
XBB	2023-08-20	255687.261899234	110.443229511818
XBB	2023-08-27	323282.425220777	110.979233081337
XBB	2023-09-03	308790.954370976	111.358348294434
XBB	2023-09-10	233880.987973096	111.772450087712
XBB	2023-09-17	166854.044444444	112.155338983051
XBB	2023-09-24	138953.109038419	112.529000985869
XBB	2023-10-01	149573.869214915	112.732488262911
XBB	2023-10-08	150366.214623405	113.107528995479
XBB	2023-10-15	143161.371506476	113.712195121951
XBB	2023-10-22	135020.419416601	113.844759206799
XBB	2023-10-29	135094.394961526	114.077899150392
XBB	2023-11-05	141018.814029011	114.50265160249
XBB	2023-11-12	159260.632780886	114.570851137545
XBB	2023-11-19	174203.192240245	114.796493425172
XBB	2023-11-26	189494.46834639	115.248426409535
XBB	2023-12-03	192448.287607687	115.46927297668
XBB	2023-12-10	187321.905977639	115.672116119175
XBB	2023-12-17	163544.104065041	115.969593990342
XBB	2023-12-24	124917.42520974	116.203621096825
XBB	2023-12-31	79895.8675607712	116.633379888268
XBB	2024-01-07	50685.1862068965	116.638512035011
XBB	2024-01-14	31155.8584246467	116.920454545455
XBB	2024-01-21	19178.0585932226	117.398297067171
XBB	2024-01-28	10882.5930482928	117.817905918058
