VOC	Date	Cases	HaploNum	HaploNumPer100Seq
Alpha	2021-06-13	1225371.03842748	1707	0.112169798922329
Alpha	2021-06-20	976889.971418673	1322	0.122102152027339
Alpha	2021-06-27	638477.48014761	1145	0.131473188655414
Alpha	2021-07-04	443679.134751109	871	0.132835138020436
Alpha	2021-07-11	364454.658787134	723	0.126575630252101
Alpha	2021-07-18	286378.846734378	568	0.12701252236136
Alpha	2021-07-25	193334.515783646	486	0.135716280368612
Alpha	2021-08-01	142277.724449304	391	0.127237227465018
Alpha	2021-08-08	69988.3732998919	259	0.164548919949174
Alpha	2021-08-15	122153.237913762	201	0.0804
Alpha	2021-08-22	29414.8368683752	148	0.18639798488665
Delta	2021-03-14	21048.7954558668	133	0.331670822942643
Delta	2021-03-21	6011.08354596954	52	0.468468468468468
Delta	2021-03-28	5302.40828354998	32	0.340425531914894
Delta	2021-04-04	12625.6769240043	58	0.288557213930348
Delta	2021-04-11	37093.8020056798	137	0.268101761252446
Delta	2021-04-18	68926.9387121566	182	0.205417607223476
Delta	2021-04-25	133578.723164203	271	0.179470198675497
Delta	2021-05-02	176312.975686262	350	0.177574835109082
Delta	2021-05-09	293539.79978192	526	0.165097300690521
Delta	2021-05-16	323120.052087751	464	0.140054331421672
Delta	2021-05-23	514049.700682669	525	0.0942211055276382
Delta	2021-05-30	827475.412699182	642	0.0674511451985711
Delta	2021-06-06	987146.47556157	998	0.0838373655913978
Delta	2021-06-13	1035260.57570391	1220	0.0948899432215913
Delta	2021-06-20	1144983.25827126	1470	0.115839243498818
Delta	2021-06-27	1628634.42662523	2284	0.102813414359667
Delta	2021-07-04	2094704.12909716	2813	0.0908679781632587
Delta	2021-07-11	2559222.05251259	3116	0.0776863625031164
Delta	2021-07-18	2920462.27757633	3753	0.0822936081570003
Delta	2021-07-25	3441473.15669163	5112	0.0801957831325301
Delta	2021-08-01	3814691.2700381	6201	0.0752621613748908
Delta	2021-08-08	3973552.09860117	6924	0.0774817318129427
Delta	2021-08-15	4243261.45605792	6615	0.0761719424708958
Delta	2021-08-22	4300086.09549485	7960	0.0685775331041672
Delta	2021-08-29	4431466.55589362	8287	0.0869651908364903
Delta	2021-09-05	4230353.73937593	8794	0.0932249207577573
Delta	2021-09-12	3952410.31998979	8690	0.10506335235516
Delta	2021-09-19	3673164.11298177	8737	0.111555158324821
Delta	2021-09-26	3409299.90883242	8661	0.121012700674854
Delta	2021-10-03	3173566.35952673	9175	0.127096926124479
Delta	2021-10-10	2974349.43527338	9570	0.124744189684164
Delta	2021-10-17	2940203.0602057	9024	0.128161792901677
Delta	2021-10-24	3000500.76747671	9369	0.112516212710765
Delta	2021-10-31	3099573.61986502	10001	0.110642770217944
Delta	2021-11-07	3257478.88813405	10523	0.10877834976948
Delta	2021-11-14	3503193.92064029	10214	0.0960467915444219
Delta	2021-11-21	3789547.05781276	9995	0.0984923137564052
Delta	2021-11-28	4040695.234043	9818	0.104308100929615
Delta	2021-12-05	4169583.53461844	11751	0.100427313904794
Delta	2021-12-12	4245572.31562266	11202	0.109265418792247
Delta	2021-12-19	4059374.9886291	9399	0.139633349179938
Delta	2021-12-26	3525661.83667504	6104	0.18234503360717
Delta	2022-01-02	2881766.92408057	4357	0.221990115657003
Delta	2022-01-09	2018984.21423234	2980	0.248291951341443
Delta	2022-01-16	967993.485413788	1476	0.28466730954677
Delta	2022-01-23	444086.303187583	911	0.38585345192715
Delta	2022-01-30	219080.308717762	388	0.378167641325536
Delta	2022-02-06	102434.684205087	246	0.445652173913043
XBB	2022-10-02	25280.8476112443	67	0.234265734265734
XBB	2022-10-09	42457.5107773906	98	0.205450733752621
XBB	2022-10-16	42361.8443574122	110	0.224489795918367
XBB	2022-10-23	43576.316611222	107	0.210629921259843
XBB	2022-10-30	37403.9075481588	119	0.243353783231084
XBB	2022-11-06	52352.5481554032	177	0.246861924686192
XBB	2022-11-13	69188.7041271189	229	0.232723577235772
XBB	2022-11-20	83190.5158240236	248	0.22962962962963
XBB	2022-11-27	114930.641712231	289	0.209268645908762
XBB	2022-12-04	169163.937710315	435	0.195505617977528
XBB	2022-12-11	227641.350454316	473	0.182978723404255
XBB	2022-12-18	252392.228449353	552	0.202866593164278
XBB	2022-12-25	257933.66205523	579	0.216044776119403
XBB	2023-01-01	295740.035031847	604	0.201669449081803
XBB	2023-01-08	339540.285200832	642	0.169527330340639
XBB	2023-01-15	427472.117710876	727	0.166133455210238
XBB	2023-01-22	464889.043659342	827	0.160926250243238
XBB	2023-01-29	472112.433297828	1018	0.150904239549363
XBB	2023-02-05	480276.902397143	1162	0.152713891444342
XBB	2023-02-12	530918.16350426	1348	0.146824964600806
XBB	2023-02-19	556660.207202851	1473	0.147921269331191
XBB	2023-02-26	598038.720116332	1533	0.149400643212163
XBB	2023-03-05	616031.513151515	1769	0.159039827384698
XBB	2023-03-12	584865.472466451	1775	0.171216359602585
XBB	2023-03-19	567077.947662494	1836	0.185942880291675
XBB	2023-03-26	558026.59787627	1839	0.194747431960182
XBB	2023-04-02	609676.545266143	2035	0.210968277006013
XBB	2023-04-09	620995.336202774	1914	0.215346534653465
XBB	2023-04-16	616434.210788382	2080	0.220736495808129
XBB	2023-04-23	615703.779262899	2022	0.227012462108454
XBB	2023-04-30	599682.189079215	1980	0.219147758716104
XBB	2023-05-07	558005.868327809	1968	0.248547613033594
XBB	2023-05-14	472213.039254824	1899	0.257806136301928
XBB	2023-05-21	393873.44084264	1921	0.283877641495493
XBB	2023-05-28	310281.380792541	1879	0.284610724023023
XBB	2023-06-04	274271.893265183	1737	0.289210789210789
XBB	2023-06-11	211279.895906845	1610	0.31661750245821
XBB	2023-06-18	192206.797079745	1526	0.308969427009516
XBB	2023-06-25	162960.52459879	1479	0.312157028281976
XBB	2023-07-02	177764.475524476	1295	0.309438470728793
XBB	2023-07-09	176481.045919478	1380	0.31841255191509
XBB	2023-07-16	200800.552851962	1475	0.308319397993311
XBB	2023-07-23	247056.893258427	1472	0.29683403912079
XBB	2023-07-30	410805.444642375	1730	0.289733712945905
XBB	2023-08-06	372368.155616943	1940	0.279257233338132
XBB	2023-08-13	364260.669658503	2051	0.272449521785335
XBB	2023-08-20	255687.261899234	2271	0.272498200143988
XBB	2023-08-27	323282.425220777	2650	0.260314341846758
XBB	2023-09-03	308790.954370976	2729	0.263162970106075
XBB	2023-09-10	233880.987973096	2890	0.255706954521324
XBB	2023-09-17	166854.044444444	2753	0.248376037531577
XBB	2023-09-24	138953.109038419	2902	0.250496331463099
XBB	2023-10-01	149573.869214915	2511	0.245959447546283
XBB	2023-10-08	150366.214623405	2506	0.257157516675218
XBB	2023-10-15	143161.371506476	2331	0.267869455297633
XBB	2023-10-22	135020.419416601	2214	0.267004341534009
XBB	2023-10-29	135094.394961526	2308	0.26428489637009
XBB	2023-11-05	141018.814029011	2242	0.266207551650439
XBB	2023-11-12	159260.632780886	2332	0.277652101440648
XBB	2023-11-19	174203.192240245	2231	0.289702636021296
XBB	2023-11-26	189494.46834639	2070	0.283833813245578
XBB	2023-12-03	192448.287607687	2166	0.302471721826561
XBB	2023-12-10	187321.905977639	1975	0.308064264545313
XBB	2023-12-17	163544.104065041	1670	0.306309611151871
XBB	2023-12-24	124917.42520974	1305	0.3556827473426
XBB	2023-12-31	79895.8675607712	1064	0.379322638146168
XBB	2024-01-07	50685.1862068965	865	0.389113810166442
XBB	2024-01-14	31155.8584246467	664	0.438863185723728
XBB	2024-01-21	19178.0585932226	458	0.465447154471545
XBB	2024-01-28	10882.5930482928	317	0.515447154471545
